Date,Link,Title,Venue,Language
2020-06-14 04:29:15.278000+00:00,https://www.nzz.ch/international/peking-hat-wieder-mit-covid-19-zu-kaempfen-ld.1561177,Peking hat wieder mit Covid-19 zu kämpfen | NZZ,Neue Zürcher Zeitung,DE
2020-06-14 05:47:00.981000+00:00,https://www.20minutes.ch/fr/story/berne-aurait-sous-estime-la-crise-du-covid-19-486780456606,20min - Berne aurait sous-estimé la crise du Covid-19,20 Minutes (FR),FR
2020-06-14 06:05:55+00:00,https://www.aargauerzeitung.ch/leben/leben/nach-corona-steht-das-auto-als-gewinner-da-doch-was-bedeutet-das-fuer-die-mobilitaet-der-zukunft-138156987,Nach Corona steht das Auto als Gewinner da – doch was bedeutet das für die Mobilität der Zukunft? - Leben - Wissen - Aargauer Zeitung,Aargauer Zeitung,DE
2020-06-14 06:36:09+00:00,https://www.aargauerzeitung.ch/schweiz/china-meldet-57-neue-corona-infizierte-regionale-lockdowns-bei-zweiter-welle-137362395,China meldet 57 neue Corona-Infizierte ++ regionale Lockdowns bei zweiter Welle? - Schweiz - Aargauer Zeitung,Aargauer Zeitung,DE
2020-06-14 06:43:00+00:00,https://www.srf.ch/news/schweiz/das-neuste-zur-coronakrise-lockerungen-nun-auch-fuer-paris,Das Neuste zur Coronakrise - Lockerungen nun auch für Paris - News,SRF,DE
2020-06-14 06:43:00+00:00,https://www.srf.ch/news/schweiz/das-neuste-zur-coronakrise-laut-who-ist-mexiko-neuer-brennpunkt-der-pandemie,Das Neuste zur Coronakrise - Laut WHO ist Mexiko neuer Brennpunkt der Pandemie - News ,SRF,DE
2020-06-14 06:47:30.257000+00:00,https://www.bazonline.ch/so-entscheidet-corona-das-rennen-um-den-meistertitel-266275129715,St. Gallen? YB? Basel? – So entscheidet Corona das Rennen um den Meistertitel ,Basler Zeitung,DE
2020-06-14 06:47:30.257000+00:00,https://www.bernerzeitung.ch/so-entscheidet-corona-das-rennen-um-den-meistertitel-266275129715,St. Gallen? YB? Basel? – So entscheidet Corona das Rennen um den Meistertitel | Berner Zeitung,Berner Zeitung,DE
2020-06-14 06:47:30.257000+00:00,https://www.tagesanzeiger.ch/so-entscheidet-corona-das-rennen-um-den-meistertitel-266275129715,St. Gallen? YB? Basel? – So entscheidet Corona das Rennen um den Meistertitel | Tages-Anzeiger,Tages Anzeiger,DE
2020-06-14 07:03:48.484800+00:00,https://www.blick.ch/news/schweiz/grosse-proteste-trotz-corona-kommt-es-nun-zu-superspreading-events-id15936448.html,Grosse Proteste trotz Corona: Kommt es nun zum Superspreading?,Blick,DE
2020-06-14 07:04:41.414100+00:00,https://www.blick.ch/news/wirtschaft/coronavirus-eu-laender-sichern-sich-moeglichen-corona-impfstoff-von-astrazeneca-id15936563.html,Wettlauf: Corona-Impf-Allianz von vier EU-Staaten ,Blick,DE
2020-06-14 07:12:18+00:00,https://www.aargauerzeitung.ch/schweiz/levrat-will-sich-am-corona-hilfsplan-der-eu-beteiligen-im-gegenzug-fuer-lohnschutzmassnahmen-138165780,Levrat will sich am Corona-Hilfsplan der EU beteiligen - im Gegenzug für Lohnschutzmassnahmen - Schweiz - Aargauer Zeitung,Aargauer Zeitung,DE
2020-06-14 07:14:55+00:00,https://www.aargauerzeitung.ch/schweiz/bei-zweiter-corona-welle-kantone-koennten-regionale-lockdowns-anordnen-138165937,Bei zweiter Corona-Welle: Kantone könnten regionale Lockdowns anordnen - Schweiz - Aargauer Zeitung,Aargauer Zeitung,DE
2020-06-14 07:26:57.434000+00:00,https://www.bazonline.ch/corona-patient-soll-ueber-eine-million-fuer-behandlung-zahlen-695101093497,"Erst Jubelrufe, dann die hohe Rechnung – Corona-Patient soll für Behandlung über eine Million zahlen ",Basler Zeitung,DE
2020-06-14 07:26:57.434000+00:00,https://www.bernerzeitung.ch/corona-patient-soll-ueber-eine-million-fuer-behandlung-zahlen-695101093497,"Erst Jubelrufe, dann die hohe Rechnung – Corona-Patient soll für Behandlung über eine Million zahlen | Berner Zeitung",Berner Zeitung,DE
2020-06-14 07:26:57.434000+00:00,https://www.tagesanzeiger.ch/corona-patient-soll-ueber-eine-million-fuer-behandlung-zahlen-695101093497,"Erst Jubelrufe, dann die hohe Rechnung – Corona-Patient soll für Behandlung über eine Million zahlen | Tages-Anzeiger",Tages Anzeiger,DE
2020-06-14 07:31:47.474700+00:00,https://www.blick.ch/news/ausland/groesster-frischmarkt-der-chinesischen-hauptstadt-abgeriegelt-in-peking-geht-angst-vor-zweiter-coronavirus-welle-um-id15936589.html,Angst vor zweiter Welle nach neuem Corona-Ausbruch in Peking ,Blick,DE
2020-06-14 07:40:59+00:00,https://www.tio.ch/newsblog/fashionchannel/1443430/pitti-coronavirus-causa-settembre-veste,"A causa del Coronavirus, Pitti Uomo cambia veste e si connette",Il portale del Ticino,IT
2020-06-14 09:31:00+00:00,https://www.swissinfo.ch/ita/il-timore-del-coronavirus-vi-spinge-a-evitare-i-trasporti-pubblici-/45844856,Il timore del coronavirus vi spinge a evitare i trasporti pubblici?,SWI swissinfo.ch (IT),IT
2020-06-14 09:59:45+00:00,https://www.tagesanzeiger.ch/der-mieterknatsch-spitzt-sich-zu-975330866417,Zinsreduktion wegen Corona – Der Mieterknatsch spitzt sich zu | Tages-Anzeiger,Tages Anzeiger,DE
2020-06-14 10:57:55+00:00,https://www.tio.ch/svizzera/attualita/1443437/localita-coronavirus-svizzera-turisti-confederazione,Coronavirus: le localitÃ  turistiche potranno essere isolate,Il portale del Ticino,IT
2020-06-14 10:58:13+00:00,https://www.tio.ch/svizzera/attualita/1443420/situazione-coronavirus-febbraio-koch-autorita,Coronavirus: le autoritÃ  federali avrebbero perso tempo nonostante le allerte,Il portale del Ticino,IT
2020-06-14 11:31:22.817000+00:00,https://www.nzz.ch/international/italiens-kinder-im-schatten-der-corona-krise-ld.1560964,Italiens Kinder im Schatten der Corona-Krise,Neue Zürcher Zeitung,DE
2020-06-14 12:08:56.448000+00:00,https://www.tagesanzeiger.ch/corona-fuer-djokovic-ist-das-virus-weit-weg-127447935747,Massenauflauf beim Tennis – Corona? Für Djokovic ist das Virus weit weg | Tages-Anzeiger,Tages Anzeiger,DE
2020-06-14 12:35:14+00:00,https://www.20min.ch/story/wie-der-bund-die-corona-pandemie-unterschaetzte-765312070953,20min - Wie der Bund die Corona-Pandemie unterschätzte,20 Minuten (DE),DE
2020-06-14 16:21:21.111000+00:00,https://www.nzz.ch/finanzen/marktturbulenzen-wegen-corona-aktive-manager-wittern-morgenluft-ld.1560708,Marktturbulenzen wegen Corona: Aktive Manager wittern Morgenluft,Neue Zürcher Zeitung,DE
2020-06-14 17:27:00+00:00,https://www.srf.ch/news/regional/basel-baselland/sport-und-corona-bei-sportlern-hat-corona-ohnmachtsgefuehle-ausgeloest,Sport und Corona - «Bei Sportlern hat Corona Ohnmachtsgefühle ausgelöst» - News,SRF,DE
2020-06-15 04:54:53.535300+00:00,https://www.blick.ch/people-tv/international/liebestoeter-corona-lockdown-diese-frauen-sind-wieder-single-id15937566.html,Beziehungskiller Corona: Diese Hollywood-Beautys sind single,Blick,DE
2020-06-15 04:56:02.422000+00:00,https://www.nzz.ch/meinung/sieben-corona-paradoxien-was-das-virus-mit-uns-gemacht-hat-ld.1557102,Sieben Corona-Paradoxien: Was das Virus mit uns gemacht hat,Neue Zürcher Zeitung,DE
2020-06-15 06:17:53.161000+00:00,https://www.nzz.ch/wirtschaft/coronavirus-chinas-wirtschaft-macht-hoffnung-sorge-in-peking-ld.1561268,"Coronavirus: Chinas Wirtschaft macht Hoffnung, Sorge in Peking",Neue Zürcher Zeitung,DE
2020-06-15 08:10:30.303000+00:00,https://www.blick.ch/news/schweiz/mami-und-papi-im-homeoffice-macht-corona-maenner-zu-besseren-vaetern-id15936932.html,Väter im Homeoffice: Gleichstellung nach der Coronakrise,Blick,DE
2020-06-15 08:18:59.595900+00:00,https://www.blick.ch/sport/tennis/ding-der-unmoeglichkeit-corona-laesst-federer-volksinitiative-platzen-id15937915.html,Corona lässt Federer-Volksinitiative platzen,Blick,DE
2020-06-15 08:40:44.222000+00:00,https://www.nzz.ch/international/usa-steigende-covid-19-zahlen-werden-vermehrt-in-kauf-genommen-ld.1561223,Corona: USA nimmt steigende Covid-19-Zahlen vermehrt in Kauf,Neue Zürcher Zeitung,DE
2020-06-15 09:17:47.593432+00:00,https://worldradio.ch/news/2020/06/15/covid-19-contact-tracing-app-expected-to-be-released-this-week/,Covid-19 contact tracing app expected to be released this week,World Radio Switzerland,EN
2020-06-15 09:23:23.094000+00:00,https://www.bazonline.ch/das-muessen-sie-ab-heute-beim-einkaufen-im-ausland-beachten-451226160256,«Neue Normalität» nach Corona – Das müssen Sie ab heute beim Einkaufen im Ausland beachten,Basler Zeitung,DE
