Date,Price,Open,High,Low,Change %
"Apr 28, 2020",0.8709,0.8711,0.8727,0.8687,-0.05%
"Apr 27, 2020",0.8713,0.8748,0.8755,0.8709,-0.41%
"Apr 26, 2020",,,,,
"Apr 25, 2020",,,,,
"Apr 24, 2020",0.8749,0.8731,0.877,0.8711,0.30%
"Apr 23, 2020",0.8723,0.8776,0.8784,0.8708,-0.60%
"Apr 22, 2020",0.8775,0.8831,0.884,0.8773,-0.64%
"Apr 21, 2020",0.8831,0.8734,0.8866,0.8726,1.11%
"Apr 20, 2020",0.8734,0.8697,0.8745,0.8689,0.41%
"Apr 19, 2020",,,,,
"Apr 18, 2020",,,,,
"Apr 17, 2020",0.8698,0.8698,0.8726,0.8682,-0.02%
"Apr 16, 2020",0.87,0.8717,0.8731,0.8695,-0.18%
"Apr 15, 2020",0.8716,0.8698,0.8747,0.8695,0.20%
"Apr 14, 2020",0.8698,0.8724,0.874,0.8681,-0.28%
"Apr 13, 2020",0.8723,0.878,0.8795,0.8705,-0.65%
"Apr 12, 2020",,,,,
"Apr 11, 2020",,,,,
"Apr 10, 2020",0.8781,0.8774,0.8788,0.8757,0.09%
"Apr 09, 2020",0.8773,0.8767,0.8788,0.8724,0.08%
"Apr 08, 2020",0.8766,0.8831,0.8839,0.8745,-0.74%
"Apr 07, 2020",0.8831,0.8824,0.8866,0.8799,0.08%
"Apr 06, 2020",0.8824,0.8812,0.8857,0.8763,0.11%
"Apr 05, 2020",,,,,
"Apr 04, 2020",,,,,
"Apr 03, 2020",0.8815,0.8761,0.8838,0.874,0.62%
"Apr 02, 2020",0.8761,0.886,0.8866,0.8738,-1.10%
"Apr 01, 2020",0.8858,0.8882,0.8913,0.8784,-0.27%
"Mar 31, 2020",0.8882,0.8895,0.8974,0.881,-0.17%
"Mar 30, 2020",0.8898,0.8946,0.8992,0.8867,-0.52%
"Mar 29, 2020",,,,,
"Mar 28, 2020",,,,,
"Mar 27, 2020",0.8944,0.9038,0.9096,0.8904,-1.04%
"Mar 26, 2020",0.9038,0.9154,0.9242,0.9033,-1.32%
"Mar 25, 2020",0.9159,0.9176,0.9277,0.9054,-0.18%
"Mar 24, 2020",0.9176,0.9285,0.9326,0.9143,-1.17%
"Mar 23, 2020",0.9284,0.9171,0.9391,0.9111,1.07%
"Mar 22, 2020",,,,,
"Mar 21, 2020",,,,,
"Mar 20, 2020",0.9186,0.9308,0.9343,0.8995,-1.31%
"Mar 19, 2020",0.9308,0.9398,0.9503,0.9121,-1.27%
"Mar 18, 2020",0.9427,0.9092,0.9491,0.9068,3.33%
"Mar 17, 2020",0.9124,0.9112,0.9144,0.9063,0.10%
"Mar 16, 2020",0.9115,0.9038,0.9153,0.8984,0.77%
"Mar 15, 2020",,,,,
"Mar 14, 2020",,,,,
"Mar 13, 2020",0.9045,0.8896,0.9051,0.8843,1.67%
"Mar 12, 2020",0.8896,0.8792,0.8916,0.8774,1.22%
"Mar 11, 2020",0.8789,0.8742,0.8842,0.8712,0.57%
"Mar 10, 2020",0.8739,0.8715,0.8785,0.8679,0.24%
"Mar 09, 2020",0.8718,0.8656,0.8776,0.8649,0.80%
"Mar 08, 2020",,,,,
"Mar 07, 2020",,,,,
"Mar 06, 2020",0.8649,0.8669,0.872,0.8646,-0.23%
"Mar 05, 2020",0.8669,0.8651,0.8689,0.862,0.21%
"Mar 04, 2020",0.8651,0.872,0.8746,0.8649,-0.80%
"Mar 03, 2020",0.8721,0.8731,0.8747,0.8681,-0.10%
"Mar 02, 2020",0.873,0.8582,0.8743,0.8582,1.51%
"Mar 01, 2020",,,,,
"Feb 29, 2020",,,,,
"Feb 28, 2020",0.86,0.8536,0.8641,0.8519,0.74%
"Feb 27, 2020",0.8537,0.8434,0.8545,0.8427,1.26%
"Feb 26, 2020",0.8431,0.8367,0.8445,0.8355,0.78%
"Feb 25, 2020",0.8366,0.8391,0.8403,0.8338,-0.33%
"Feb 24, 2020",0.8394,0.8365,0.8411,0.8344,0.39%
"Feb 23, 2020",,,,,
"Feb 22, 2020",,,,,
"Feb 21, 2020",0.8361,0.8373,0.8387,0.8343,-0.13%
"Feb 20, 2020",0.8372,0.8363,0.8419,0.8357,0.11%
"Feb 19, 2020",0.8363,0.8304,0.837,0.8294,0.73%
"Feb 18, 2020",0.8302,0.833,0.8349,0.828,-0.32%
"Feb 17, 2020",0.8329,0.8312,0.8337,0.8298,0.33%
"Feb 16, 2020",,,,,
"Feb 15, 2020",,,,,
"Feb 14, 2020",0.8302,0.8309,0.8346,0.8298,-0.10%
"Feb 13, 2020",0.831,0.839,0.8401,0.8295,-0.94%
"Feb 12, 2020",0.8389,0.8427,0.8433,0.838,-0.45%
"Feb 11, 2020",0.8427,0.8448,0.846,0.8419,-0.25%
"Feb 10, 2020",0.8448,0.8491,0.8505,0.844,-0.48%
"Feb 09, 2020",,,,,
"Feb 08, 2020",,,,,
"Feb 07, 2020",0.8489,0.8494,0.8499,0.8461,-0.04%
"Feb 06, 2020",0.8492,0.8459,0.8498,0.8457,0.39%
"Feb 05, 2020",0.8459,0.8476,0.8492,0.8434,-0.19%
"Feb 04, 2020",0.8475,0.8509,0.8539,0.8463,-0.42%
"Feb 03, 2020",0.8511,0.8394,0.8521,0.8394,1.27%
"Feb 02, 2020",,,,,
"Feb 01, 2020",,,,,
"Jan 31, 2020",0.8404,0.8425,0.8433,0.8386,-0.25%
"Jan 30, 2020",0.8425,0.8456,0.8489,0.8411,-0.38%
"Jan 29, 2020",0.8457,0.846,0.8469,0.8446,-0.04%
"Jan 28, 2020",0.846,0.8439,0.848,0.8433,0.24%
"Jan 27, 2020",0.844,0.8431,0.8451,0.8408,0.12%
"Jan 26, 2020",,,,,
"Jan 25, 2020",,,,,
"Jan 24, 2020",0.843,0.8424,0.8446,0.8387,0.07%
"Jan 23, 2020",0.8424,0.8439,0.8458,0.8417,-0.20%
"Jan 22, 2020",0.8441,0.8492,0.8503,0.8423,-0.62%
"Jan 21, 2020",0.8494,0.8527,0.8537,0.849,-0.40%
"Jan 20, 2020",0.8528,0.8531,0.8555,0.8518,0.05%
"Jan 19, 2020",,,,,
"Jan 18, 2020",,,,,
"Jan 17, 2020",0.8524,0.8515,0.8534,0.8488,0.09%
"Jan 16, 2020",0.8516,0.8552,0.8565,0.8509,-0.43%
"Jan 15, 2020",0.8553,0.8549,0.8579,0.8537,0.05%
"Jan 14, 2020",0.8549,0.8572,0.86,0.854,-0.28%
"Jan 13, 2020",0.8573,0.8518,0.8583,0.8514,0.67%
"Jan 12, 2020",,,,,
"Jan 11, 2020",,,,,
"Jan 10, 2020",0.8516,0.85,0.8521,0.8478,0.20%
"Jan 09, 2020",0.8499,0.8476,0.8534,0.847,0.25%
"Jan 08, 2020",0.8478,0.8498,0.8519,0.8454,-0.24%
"Jan 07, 2020",0.8498,0.8502,0.8529,0.8465,-0.07%
"Jan 06, 2020",0.8504,0.8539,0.8546,0.849,-0.28%
"Jan 05, 2020",,,,,
"Jan 04, 2020",,,,,
"Jan 03, 2020",0.8528,0.8498,0.8545,0.849,0.34%
"Jan 02, 2020",0.8499,0.8458,0.8516,0.8458,0.47%
"Jan 01, 2020",0.8459,0.8454,0.8475,0.8449,0.11%
"Dec 31, 2019",0.845,0.8539,0.8554,0.845,-1.04%
