Date,Price,Open,High,Low,Change %
"May 01, 2020",7.0622,7.0622,7.0622,7.0622,0.00%
"Apr 30, 2020",7.0622,7.0659,7.0675,7.0468,-0.21%
"Apr 29, 2020",7.0768,7.0765,7.082,7.0704,-0.04%
"Apr 28, 2020",7.0796,7.0834,7.0911,7.0728,-0.10%
"Apr 27, 2020",7.0865,7.0722,7.0915,7.0705,0.06%
,,,,,
,,,,,
"Apr 24, 2020",7.0819,7.0809,7.0893,7.0742,0.22%
"Apr 23, 2020",7.0667,7.0841,7.0888,7.0648,-0.25%
"Apr 22, 2020",7.0841,7.0897,7.092,7.0775,-0.11%
"Apr 21, 2020",7.092,7.0823,7.0988,7.0799,0.26%
"Apr 20, 2020",7.0736,7.0802,7.0834,7.0679,0.01%
,,,,,
,,,,,
"Apr 17, 2020",7.0731,7.0678,7.0832,7.0654,-0.10%
"Apr 16, 2020",7.0798,7.0723,7.084,7.0696,0.17%
"Apr 15, 2020",7.0676,7.0476,7.0686,7.0455,0.27%
"Apr 14, 2020",7.0486,7.05,7.0629,7.04,-0.06%
"Apr 13, 2020",7.0526,7.036,7.057,7.036,0.24%
,,,,,
,,,,,
"Apr 10, 2020",7.036,7.0475,7.0483,7.0275,-0.10%
"Apr 09, 2020",7.0432,7.0645,7.0743,7.0335,-0.32%
"Apr 08, 2020",7.066,7.0621,7.0738,7.0575,0.29%
"Apr 07, 2020",7.0458,7.087,7.0873,7.0447,-0.66%
