Date,Price,Open,High,Low,Change %
"Mar 03, 2020",1.1173,1.1133,1.1214,1.1095,0.35%
"Mar 02, 2020",1.1134,1.1003,1.1186,1.1003,0.97%
"Mar 01, 2020",,,,,
"Feb 29, 2020",,,,,
"Feb 28, 2020",1.1027,1.1001,1.1054,1.095,0.24%
"Feb 27, 2020",1.1,1.0881,1.1006,1.0878,1.09%
"Feb 26, 2020",1.0881,1.0881,1.091,1.0855,0.00%
"Feb 25, 2020",1.0881,1.0854,1.0891,1.0829,0.25%
"Feb 24, 2020",1.0854,1.0841,1.0872,1.0805,0.08%
"Feb 23, 2020",,,,,
"Feb 22, 2020",,,,,
"Feb 21, 2020",1.0845,1.0785,1.0864,1.0783,0.56%
"Feb 20, 2020",1.0785,1.0806,1.0821,1.0776,-0.19%
"Feb 19, 2020",1.0806,1.0791,1.0812,1.0782,0.13%
"Feb 18, 2020",1.0792,1.0838,1.0839,1.0785,-0.40%
"Feb 17, 2020",1.0835,1.0832,1.0852,1.0821,0.03%
"Feb 16, 2020",,,,,
"Feb 15, 2020",,,,,
"Feb 14, 2020",1.0832,1.0841,1.0862,1.0827,-0.09%
"Feb 13, 2020",1.0841,1.0874,1.089,1.0833,-0.29%
"Feb 12, 2020",1.0873,1.0916,1.0927,1.0864,-0.39%
"Feb 11, 2020",1.0916,1.0911,1.0926,1.0891,0.05%
"Feb 10, 2020",1.0911,1.0951,1.0958,1.0907,-0.31%
"Feb 09, 2020",,,,,
"Feb 08, 2020",,,,,
"Feb 07, 2020",1.0945,1.0983,1.0986,1.0941,-0.32%
"Feb 06, 2020",1.098,1.0999,1.1014,1.0964,-0.17%
"Feb 05, 2020",1.0999,1.1044,1.1049,1.0993,-0.41%
"Feb 04, 2020",1.1044,1.1059,1.1065,1.1033,-0.14%
"Feb 03, 2020",1.106,1.1092,1.1096,1.1035,-0.31%
"Feb 02, 2020",,,,,
"Feb 01, 2020",,,,,
"Jan 31, 2020",1.1094,1.1032,1.1097,1.1016,0.56%
"Jan 30, 2020",1.1032,1.101,1.104,1.1006,0.19%
"Jan 29, 2020",1.1011,1.1022,1.1028,1.0991,-0.10%
"Jan 28, 2020",1.1022,1.1019,1.1026,1.0998,0.04%
"Jan 27, 2020",1.1018,1.1021,1.1039,1.1009,-0.06%
"Jan 26, 2020",,,,,
"Jan 25, 2020",,,,,
"Jan 24, 2020",1.1025,1.1055,1.1063,1.102,-0.26%
"Jan 23, 2020",1.1054,1.1092,1.1109,1.1036,-0.35%
"Jan 22, 2020",1.1093,1.1084,1.1099,1.107,0.08%
"Jan 21, 2020",1.1084,1.1095,1.1119,1.108,-0.10%
"Jan 20, 2020",1.1095,1.1092,1.1104,1.1076,0.05%
"Jan 19, 2020",,,,,
"Jan 18, 2020",,,,,
"Jan 17, 2020",1.109,1.1136,1.1143,1.1085,-0.42%
"Jan 16, 2020",1.1137,1.1151,1.1173,1.1128,-0.13%
"Jan 15, 2020",1.1151,1.113,1.1164,1.1118,0.20%
"Jan 14, 2020",1.1128,1.1135,1.1145,1.1104,-0.06%
"Jan 13, 2020",1.1135,1.1125,1.1148,1.1112,0.12%
"Jan 12, 2020",,,,,
"Jan 11, 2020",,,,,
"Jan 10, 2020",1.1122,1.1106,1.113,1.1085,0.14%
"Jan 09, 2020",1.1106,1.1106,1.1121,1.1092,0.01%
"Jan 08, 2020",1.1105,1.1154,1.1169,1.1101,-0.43%
"Jan 07, 2020",1.1153,1.1198,1.1198,1.1133,-0.38%
"Jan 06, 2020",1.1195,1.1168,1.1207,1.1155,0.31%
"Jan 05, 2020",,,,,
"Jan 04, 2020",,,,,
"Jan 03, 2020",1.116,1.1172,1.1181,1.1125,-0.11%
"Jan 02, 2020",1.1172,1.1212,1.1227,1.1163,-0.36%
"Jan 01, 2020",1.1212,1.1213,1.1223,1.1205,0.00%
"Dec 31, 2019",1.1212,1.1198,1.124,1.1198,0.12%
