Date,Price,Open,High,Low,Change %
"Mar 19, 2020","1,258.36","1,256.50","1,292.93","1,247.45",0.15%
"Mar 18, 2020","1,256.50","1,239.76","1,269.15","1,231.60",1.35%
"Mar 17, 2020","1,239.76","1,232.41","1,246.80","1,231.93",0.56%
"Mar 16, 2020","1,232.87","1,212.10","1,233.58","1,209.23",1.74%
"Mar 15, 2020",,,,,
"Mar 14, 2020",,,,,
"Mar 13, 2020","1,211.78","1,211.21","1,226.75","1,205.25",0.05%
"Mar 12, 2020","1,211.21","1,193.07","1,213.95","1,191.43",1.55%
"Mar 11, 2020","1,192.71","1,185.74","1,197.73","1,184.07",0.59%
"Mar 10, 2020","1,185.75","1,201.03","1,201.55","1,184.55",-1.26%
"Mar 09, 2020","1,200.94","1,188.66","1,206.26","1,188.56",1.02%
"Mar 08, 2020",,,,,
"Mar 07, 2020",,,,,
"Mar 06, 2020","1,188.80","1,188.82","1,194.35","1,184.86",0.00%
"Mar 05, 2020","1,188.82","1,184.96","1,192.53","1,179.80",0.30%
"Mar 04, 2020","1,185.23","1,181.00","1,189.11","1,181.00",0.36%
"Mar 03, 2020","1,181.00","1,190.11","1,196.15","1,178.76",-0.73%
"Mar 02, 2020","1,189.71","1,200.21","1,207.15","1,188.11",-0.88%
"Mar 01, 2020",,,,,
"Feb 29, 2020",,,,,
"Feb 28, 2020","1,200.32","1,212.75","1,218.21","1,198.98",-1.02%
"Feb 27, 2020","1,212.68","1,212.36","1,218.42","1,206.53",-0.01%
"Feb 26, 2020","1,212.81","1,216.04","1,220.69","1,211.92",-0.27%
"Feb 25, 2020","1,216.04","1,219.58","1,220.27","1,209.10",-0.26%
"Feb 24, 2020","1,219.17","1,206.96","1,222.52","1,206.96",1.00%
"Feb 23, 2020",,,,,
"Feb 22, 2020",,,,,
"Feb 21, 2020","1,207.07","1,204.87","1,214.83","1,202.81",0.15%
"Feb 20, 2020","1,205.21","1,193.00","1,208.91","1,191.68",1.02%
"Feb 19, 2020","1,193.00","1,191.45","1,193.89","1,187.72",0.16%
"Feb 18, 2020","1,191.04","1,185.36","1,192.10","1,183.85",0.48%
"Feb 17, 2020","1,185.36","1,183.14","1,185.36","1,179.20",0.16%
"Feb 16, 2020",,,,,
"Feb 15, 2020",,,,,
"Feb 14, 2020","1,183.46","1,184.59","1,186.34","1,180.94",-0.09%
"Feb 13, 2020","1,184.58","1,179.51","1,185.03","1,178.78",0.43%
"Feb 12, 2020","1,179.51","1,182.29","1,184.79","1,176.80",-0.23%
